FractionatedSampleID,SampleID,Run,BioProject
G3.UW.NS.UW25_1.7m.3um.B,G3.UW.NS.UW25_1.7m.B,SRR28431451,PRJNA1091352
G3.UW.NS.UW29_1.7m.0_2um.B,G3.UW.NS.UW29_1.7m.B,SRR28431407,PRJNA1091352
G3.UW.NS.UW29_1.7m.3um.B,G3.UW.NS.UW29_1.7m.B,SRR28431418,PRJNA1091352
G3.UW.NS.UW32_1.7m.0_2um.A,G3.UW.NS.UW32_1.7m.A,SRR28431402,PRJNA1091352
G3.UW.NS.UW32_1.7m.3um.A,G3.UW.NS.UW32_1.7m.A,SRR28431403,PRJNA1091352
G3.UW.NS.UW32_3.7m.0_2um.A,G3.UW.NS.UW32_3.7m.A,SRR28431427,PRJNA1091352
G3.UW.NS.UW32_3.7m.3um.A,G3.UW.NS.UW32_3.7m.A,SRR28431431,PRJNA1091352
G3.UW.NS.UW32_3.7m.0_2um.B,G3.UW.NS.UW32_3.7m.B,SRR28431426,PRJNA1091352
G3.UW.NS.UW32_3.7m.3um.B,G3.UW.NS.UW32_3.7m.B,SRR28431430,PRJNA1091352
G3.UW.NS.UW32_3.7m.0_2um.C,G3.UW.NS.UW32_3.7m.C,SRR28431425,PRJNA1091352
G3.UW.NS.UW32_3.7m.3um.C,G3.UW.NS.UW32_3.7m.C,SRR28431428,PRJNA1091352
G3.UW.NS.UW35_1.7m.0_2um.A,G3.UW.NS.UW35_1.7m.A,SRR28431447,PRJNA1091352
G3.UW.NS.UW35_1.7m.3um.A,G3.UW.NS.UW35_1.7m.A,SRR28431450,PRJNA1091352
G3.UW.NS.UW35_1.7m.0_2um.B,G3.UW.NS.UW35_1.7m.B,SRR28431446,PRJNA1091352
G3.UW.NS.UW35_1.7m.3um.B,G3.UW.NS.UW35_1.7m.B,SRR28431449,PRJNA1091352
G3.UW.NS.UW35_1.7m.0_2um.C,G3.UW.NS.UW35_1.7m.C,SRR28431445,PRJNA1091352
G3.UW.NS.UW35_1.7m.3um.C,G3.UW.NS.UW35_1.7m.C,SRR28431448,PRJNA1091352
G3.UW.NS.UW35_2.7m.0_2um.A,G3.UW.NS.UW35_2.7m.A,SRR28431408,PRJNA1091352
G3.UW.NS.UW35_2.7m.3um.A,G3.UW.NS.UW35_2.7m.A,SRR28431411,PRJNA1091352
G3.UW.NS.UW35_2.7m.0_2um.B,G3.UW.NS.UW35_2.7m.B,SRR28431406,PRJNA1091352
G3.UW.NS.UW35_2.7m.3um.B,G3.UW.NS.UW35_2.7m.B,SRR28431410,PRJNA1091352
G3.UW.NS.UW35_2.7m.0_2um.C,G3.UW.NS.UW35_2.7m.C,SRR28431405,PRJNA1091352
G3.UW.NS.UW35_2.7m.3um.C,G3.UW.NS.UW35_2.7m.C,SRR28431409,PRJNA1091352
G3.UW.NS.UW37_1.7m.0_2um.A,G3.UW.NS.UW37_1.7m.A,SRR28431434,PRJNA1091352
G3.UW.NS.UW37_1.7m.3um.A,G3.UW.NS.UW37_1.7m.A,SRR28431437,PRJNA1091352
G3.UW.NS.UW37_1.7m.0_2um.B,G3.UW.NS.UW37_1.7m.B,SRR28431433,PRJNA1091352
G3.UW.NS.UW37_1.7m.3um.B,G3.UW.NS.UW37_1.7m.B,SRR28431436,PRJNA1091352
G3.UW.NS.UW37_1.7m.0_2um.C,G3.UW.NS.UW37_1.7m.C,SRR28431432,PRJNA1091352
G3.UW.NS.UW37_1.7m.3um.C,G3.UW.NS.UW37_1.7m.C,SRR28431435,PRJNA1091352
G3.UW.NS.UW38_1.7m.0_2um.A,G3.UW.NS.UW38_1.7m.A,SRR28431441,PRJNA1091352
G3.UW.NS.UW38_1.7m.3um.A,G3.UW.NS.UW38_1.7m.A,SRR28431444,PRJNA1091352
G3.UW.NS.UW38_1.7m.0_2um.B,G3.UW.NS.UW38_1.7m.B,SRR28431439,PRJNA1091352
G3.UW.NS.UW38_1.7m.3um.B,G3.UW.NS.UW38_1.7m.B,SRR28431443,PRJNA1091352
G3.UW.NS.UW38_1.7m.0_2um.C,G3.UW.NS.UW38_1.7m.C,SRR28431438,PRJNA1091352
G3.UW.NS.UW38_1.7m.3um.C,G3.UW.NS.UW38_1.7m.C,SRR28431442,PRJNA1091352
G3.UW.NS.UW40_1.7m.0_2um.A,G3.UW.NS.UW40_1.7m.A,SRR28431421,PRJNA1091352
G3.UW.NS.UW40_1.7m.3um.A,G3.UW.NS.UW40_1.7m.A,SRR28431424,PRJNA1091352
G3.UW.NS.UW40_1.7m.0_2um.B,G3.UW.NS.UW40_1.7m.B,SRR28431420,PRJNA1091352
G3.UW.NS.UW40_1.7m.3um.B,G3.UW.NS.UW40_1.7m.B,SRR28431423,PRJNA1091352
G3.UW.NS.UW40_1.7m.0_2um.C,G3.UW.NS.UW40_1.7m.C,SRR28431419,PRJNA1091352
G3.UW.NS.UW40_1.7m.3um.C,G3.UW.NS.UW40_1.7m.C,SRR28431422,PRJNA1091352
G3.UW.NS.UW40_2.7m.0_2um.A,G3.UW.NS.UW40_2.7m.A,SRR28431414,PRJNA1091352
G3.UW.NS.UW40_2.7m.3um.A,G3.UW.NS.UW40_2.7m.A,SRR28431417,PRJNA1091352
G3.UW.NS.UW40_2.7m.0_2um.B,G3.UW.NS.UW40_2.7m.B,SRR28431413,PRJNA1091352
G3.UW.NS.UW40_2.7m.3um.B,G3.UW.NS.UW40_2.7m.B,SRR28431416,PRJNA1091352
G3.UW.NS.UW40_2.7m.0_2um.C,G3.UW.NS.UW40_2.7m.C,SRR28431412,PRJNA1091352
G3.UW.NS.UW40_2.7m.3um.C,G3.UW.NS.UW40_2.7m.C,SRR28431415,PRJNA1091352
