salmon_version,samp_type,opt_type,quant_errors,num_libraries,library_types,frag_dist_length,frag_length_mean,frag_length_sd,seq_bias_correct,gc_bias_correct,num_bias_bins,mapping_type,keep_duplicates,num_valid_targets,num_decoy_targets,num_eq_classes,serialized_eq_classes,eq_class_properties,length_classes,index_seq_hash,index_name_hash,index_seq_hash512,index_name_hash512,index_decoy_seq_hash,index_decoy_name_hash,num_bootstraps,num_processed,num_mapped,num_decoy_fragments,num_dovetail_fragments,num_fragments_filtered_vm,num_alignments_below_threshold_for_mapped_fragments_vm,percent_mapped,call,start_time,end_time,SampleID
1.10.2,none,vb,[],1,['ISR'],1001,168.49217490396862,69.85666995078533,False,False,4096,mapping,True,990358,0,3193,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,19032359,46583,0,17281,530302,16445064,0.2447568375522971,quant,Tue Oct 31 04:03:15 2023,Tue Oct 31 04:04:34 2023,G2.BEXP1.NS.Tau.T96.A
1.10.2,none,vb,[],1,['ISR'],1001,219.6068354206582,91.69138749490314,False,False,4096,mapping,True,990358,0,39407,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,73869133,3807990,0,309904,12371633,3264800377,5.155048997258435,quant,Tue Oct 31 19:06:52 2023,Tue Oct 31 19:14:10 2023,G3.DIEL.NS.S4C30.15m.C
1.10.2,none,vb,[],1,['ISR'],1001,221.3719930538242,81.11526252391695,False,False,4096,mapping,True,990358,0,845545,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,182859827,6128577,0,720901,3952448,237471253,3.3515163502806993,quant,Tue Oct 31 00:38:44 2023,Tue Oct 31 00:52:04 2023,G1.SURF.NS.S04C1.15m.B
1.10.2,none,vb,[],1,['ISR'],1001,293.308376113915,118.02078468674246,False,False,4096,mapping,True,990358,0,541348,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,64082658,8424894,0,476725,4771935,1515956894,13.146917220568472,quant,Tue Oct 31 15:06:08 2023,Tue Oct 31 15:12:28 2023,G3.DEPTH.NS.S6C7.15m.B
1.10.2,none,vb,[],1,['ISR'],1001,178.2695936382117,62.463077753675094,False,False,4096,mapping,True,990358,0,115681,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,70796967,2218381,0,340587,3425761,847061373,3.13344073058949,quant,Tue Oct 31 06:20:48 2023,Tue Oct 31 06:26:09 2023,G2.REXP2.NS.Ctrl.T0.A
1.10.2,none,vb,[],1,['ISR'],1001,211.7721408450403,76.06273190801006,False,False,4096,mapping,True,990358,0,541180,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,68202164,2295584,0,1788536,3437778,1361638504,3.365852145102023,quant,Tue Oct 31 05:15:00 2023,Tue Oct 31 05:20:47 2023,G2.DCM.NS.S17C3.87m.C
1.10.2,none,vb,[],1,['ISR'],1001,223.00605398905776,91.59498208672326,False,False,4096,mapping,True,990358,0,203954,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,13449750,407032,0,7941,208057,8054531,3.0263164742839086,quant,Tue Oct 31 04:42:56 2023,Tue Oct 31 04:44:40 2023,G2.BEXP3.NS.Tau.T96.A
1.10.2,none,vb,[],1,['ISR'],1001,300.6896124228516,113.41444369947129,False,False,4096,mapping,True,990358,0,714134,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,61674040,12656904,0,315338,3854857,1110450420,20.522255393030843,quant,Tue Oct 31 15:12:31 2023,Tue Oct 31 15:20:34 2023,G3.DEPTH.NS.S6C7.75m.A
1.10.2,none,vb,[],1,['ISR'],1001,205.85338444566668,71.70970570090816,False,False,4096,mapping,True,990358,0,342720,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,64102263,3401627,0,340330,1695004,107519233,5.306563045987939,quant,Tue Oct 31 05:02:28 2023,Tue Oct 31 05:06:26 2023,G2.DCM.NS.S15C2.56m.C
1.10.2,none,vb,[],1,['ISR'],1001,168.76283615989874,55.342893756538245,False,False,4096,mapping,True,990358,0,18890,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,73804519,1071502,0,324002,3708944,933653049,1.4518108301742336,quant,Tue Oct 31 05:44:22 2023,Tue Oct 31 05:49:19 2023,G2.REXP1.NS.Ctrl.T96.C
1.10.2,none,vb,[],1,['ISR'],1001,204.639169653371,70.96143313070776,False,False,4096,mapping,True,990358,0,497470,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,58578196,3762047,0,713875,1959192,345538778,6.42226503527012,quant,Tue Oct 31 05:20:50 2023,Tue Oct 31 05:24:42 2023,G2.DCM.NS.S18C2.95m.A
1.10.2,none,vb,[],1,['ISR'],1001,184.75970860393255,68.98046181422046,False,False,4096,mapping,True,990358,0,140097,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,62479362,3218627,0,418936,4551796,1120168863,5.151504267921301,quant,Tue Oct 31 07:13:56 2023,Tue Oct 31 07:18:47 2023,G2.REXP2.NS.NPFe.T96.B
1.10.2,none,vb,[],1,['ISR'],1001,218.10997999058702,80.23414562198622,False,False,4096,mapping,True,990358,0,802299,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,159293700,4810028,0,580132,3814273,228916337,3.0195971340988375,quant,Tue Oct 31 03:19:10 2023,Tue Oct 31 03:30:28 2023,G1.SURF.NS.S14C1.15m.A
1.10.2,none,vb,[],1,['ISR'],1001,233.4273801035382,110.46871516107852,False,False,4096,mapping,True,990358,0,1068696,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,145597052,4913181,0,4785889,11298963,3964144691,3.374505824472325,quant,Tue Oct 31 12:57:29 2023,Tue Oct 31 13:09:26 2023,G2.SURF.NS.S17C1.15m.C
1.10.2,none,vb,[],1,['ISR'],1001,196.5276962045802,73.93527663284037,False,False,4096,mapping,True,990358,0,80322,False,"['range_factorized', 'gzipped']","[252, 471, 777, 1176, 41865]",fcbc8f70489abf464eb71bd48eb66ead1a330b564932d773c24e34b6001397a0,2aafd2aaa0d85c916e70b6fe1746b7a588d0bb51b638ae90990c74a283872a8c,e33234d65d25efebe3ad18a31f534c0da6afc587c39b2eede87972ffc2b9b8c939af9eb4758840a155e3f17e62886390282adad25b7651d61baeb88d36ee28b9,b014aa84358b6bd78f0cfa367c63bb3029e3b7276401e2c69534bee386719bdce40ae6d491972753653e26d1885c7b849cc8fb11893006473caa08d2fb8a02f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,177146281,7841088,0,772108,19170523,4599670776,4.426335091957138,quant,Wed Nov 01 01:32:58 2023,Wed Nov 01 01:46:02 2023,G3.UW.NS.UW40_1.7m.C
